name,type,

5/25,gin,
50-50 Martini,gin,
Abbey Cocktail,gin,
Absinthe Cocktail,absinthe,
Accomplice,vodka,
Adonis,sherry,
Adult Hot Chocolate,peppermint schnapps,
Affinity,whiskey,
Air Force One,vodka,
Alabama Slammer,vodka,
Alexander,brandy,
Algonquin Cocktail,whiskey,
Alibi,vodka,
Almost a Collins,vodka,
Amarula & Eve,vodka,
American Collins,gin,
American Dream,rum,
Americano,Campari,
Anejo Highball,rum,
Angel's Delight,gin,
Angel's Tit,chocolate and cherry liqueurs,
Aperol Spritz,wine,
Apple Cider Martini,vodka,
Apple Crisp,vodka,
Apple Margarita,tequila,
Apple Martini,vodka,
Apple Pie Martini,vodka,
Apple Sour,whiskey,
Apricot Sour,brandy,
Apricot Sunray,brandy,
April Rain,vodka,
Aura In Me,gin,
Autumn Chai Swizzle,Irish cream,
Autumn Delight,whiskey,
Autumn Leaves,brandy,
Autumn Spiced Tonic,vodka,
Aviation Cocktail,gin,
Axis Kiss,Champagne,
B&B,brandy,
Bacardi Cocktail,rum,
Bahama Mama,rum,
Banana Cream Pie,RumChata,
Banana Daiquiri,rum,
Banana Split Martini,vodka,
Batida,cachaca,
Bay Breeze,vodka,
Beachcomber,rum,
Bee's Knees,gin,
Bellini,Champagne,
Between the Sheets,brandy and rum,
Black & Blue,beer,
Black & Tan,beer,
Black Russian,vodka,
Blood & Sand,whiskey,
Black Martini,vodka,
Bloody Caesar,vodka,
Bloody Maria,tequila,
Bloody Mary,vodka,
Blue Hawaiian,rum,
Bocce Ball,vodka,
Boston Sidecar,brandy and rum,
Brandy Alexander,brandy,
Brandy Cobbler,brandy,
Brandy Cocktail,brandy,
Brandy Daisy,brandy,
Brandy Eggnog,brandy,
Brandy Milk Punch,brandy,
Brandy Old-fashioned,brandy,
Bronx,gin,
Buck's Fizz,Champagne,
Bacon Cherry Creek,whiskey,
Bacon Me Angry,vodka,
Baltimore Bang,whiskey,
Baltimore Bracer,brandy,
Bamboo Cocktail,sherry,
Banana Hammock,rum,
Banshee,banana and chocolate liqueurs,
Barbary Coast,gin,
Basil-ica,gin,
Beatnik,whiskey,
Beautiful,brandy,
Bed of Roses,Jagermeister,
Beer, Bourbon and Barbecue Cocktail,whiskey,
Bee Tea,Barenjager,
Belladonna,rum,
Belmont Breeze,whiskey,
Belmont Jewel,whiskey,
Berried Treasure,vodka,
Berry Bliss,vodka,
Berry White,vodka,
Bésame,Agavero,
Big Apple Manhattan,whiskey,
Biltmore,gin,
Bishop Cocktail,rum,
Black & Gold,vodka,
Black & Red,whiskey,
Blackberry Malt,whiskey,
Blackberry Sidecar,gin,
Black Cat,vodka,
Black Cherry Breezer,vodka,
Black Magic,vodka,
Black Velvet,beer and Champagne,
Black Widow,vodka,
Blind Pilot,whiskey,
Blood Martini,vodka,
Bloody Margarita,tequila,
Bloody Rum Punch,rum,
Blue Bayou,vodka,
Blueberry Martini,vodka,
Blueberry Tea,Grand Marnier and amaretto,
Blue Blazer,whiskey,
Blue Lagoon Margarita,tequila,
Blue Margarita,tequila,
Blushing Bride,Champagne,
Blushing Geisha,TyKu,
Blushing Lady,vodka,
Borrachon Cocktail,whiskey,
Boston Cocktail,gin,
Boulevardier Cocktail,whiskey,
Bourbon and Blood,whiskey,
Bourbon Tea,whiskey,
Bramble,gin,
Bramble Bar Cocktail,whiskey,
Brandy Smash,brandy,
Brave Bull,tequila,
Brazilian Sangria,rum,
Broad Stripes and Bright Stars,vodka,
Brogue,whiskey,
Bugs Cutty,whiskey,
Bull Shot,vodka,
Burning Bush,whiskey,
Bushwacker,rum,
Butternut Old Fashioned,whiskey,
Cable Car,rum,
Caipirinha,cachaca,
Campari & Soda,Campari,
Campari Cocktail
Cantarito,tequila,
Cape Codder,vodka,
Champagne Cocktail,Champagne,
Champagne Punch,Champagne,
Chartreuse Martini,gin,
Chicago Fizz,rum,
Chimayo,tequila,
Chocolate Margarita,tequila,
Chocolate Martini,vodka,
Chocolatini,vodka,
Club Cocktail,brandy,
Coconut Martini,rum and vodka,
Colorado Bulldog,vodka,
Corpse Reviver,brandy,
Corpse Reviver No.2,gin,
Cosmopolitan,vodka,
Cuba Libre,rum,
Cadillac Margarita,tequila,
Café Amore,brandy,
Café Brasileiro,rum,
Café Caribbean,rum,
Café Royal,coffee liqueur,
Caipirini,cachaca,
Campari Cosmo,vodka,
Canadian Cocktail,whiskey,
Candy Apple,VeeV,
Candy Appley,whiskey,
Candy Cane,vodka,
Candy Corn,gin,
Cape Samurai,vodka,
Caramel Apple Pie,tequila,
Caramel Appletini,vodka,
Caramel Irish Coffee,whiskey,
Cardinal Cocktail,wine,
Catalina Margarita,tequila,
Celebration of Citrus,Campari,
Celery Cup No. 1,vodka,
Centennial Punch,whiskey,
Central Park,gin,
Champagne and Chambord,Champagne,
Champagne Bowler,brandy,
Charlie Chaplin,brandy,
Cherry Bitch,gin,
Cherry Blossom Tini,sake,
Cherry Cobbler,whiskey,
Cherry Lane,vodka,
Cherub's Cup,vodka,
Chi-Chi,vodka,
Children of the Corn,vodka,
Chocolate Kiss,chocolate and peppermint liqueurs,
Chocolate & Orange Martini,vodka,
Chocolate Spice Martini,vodka,
Christi Extreme,vodka,
Christmas Clementine Pomander,mezcal,
Christmas Jones,vodka,
Chrysanthemum,brandy,
Cinco Herradura,tequila,
Citron Sipper,vodka,
Clementine Crush,vodka,
Clover Club Cocktail,gin,
Cocoa Old Fashioned,whiskey,
Coco Light Martini,vodka,
Coco Margarita,tequila,
Coffee Cocktail,brandy,
Coffee Old-fashioned,whiskey,
Cold in the Shadows,beer,
Colt 45,gin,
Commodore,rum,
Coriandrum,vodka,
Cranberry Daiquiri,rum,
Cranberry Peanut Buttered Hot Rum,rum,
Crantini,vodka,
Creamsicle,vodka,
Crème Brûlée Martini,vodka,
Creole Cocktail,whiskey,
Crimson Crush,vodka,
Cuban Rose,rum,
Cucumber Mint Margarita,tequila,
Cucumber-Tea-Ni,vodka,
Cucumber Wasabi Martini,gin,
Cupid's Arrow,vodka,
Daiquiri,rum,
Dark & Stormy,rum,
Dark 'n Fluffy,vodka,
Dirty Martini,gin,
Dry Martini,gin,
Dafne Martini,gin and vodka,
Daiquir-ease,rum,
Danny Ocean,tequila,
Dark, Stormy, and Cidery,rum,
Death by Chocolate,vodka,
Deep Blue Sea Martini,vodka,
Delilah,gin,
Derby Cocktail,whiskey,
Devil Cocktail,brandy,
Devil's Handshake,tequila,
Devil's Punch,tequila,
Diamond Martini,vodka,
Dirty Bird,vodka,
Dirty Hornitini,tequila,
Dirty Mother,brandy,
Dorda Cafe,chocolate liqueur,
Dorflinger,gin,
Dr. Teeth,whiskey,
Dracula's Kiss,vodka,
Dragon's Heart,rum,
Dubonnet Cocktail,gin,
Dulce de Leche,rum,
Dulce de Tequila,tequila,
Dusk in Eden,vodka,
Brandy Eggnog,brandy,
Eggnog,brandy, rum or whiskey,
Elderflower Cocktail,wine,
El Diablo,tequila,
Electric Iced Tea,gin, rum, tequila and vodka,
Espresso Martini,espresso vodka,
Espresso Martini,fresh coffee,
Early Autumn,gin,
Easter Bunny,vodka,
Easter Egg Cocktail,chocolate and orange liqueurs,
El Pepino,tequila,
El Presidente,rum,
Embassy Cocktail,brandy,
Emerald Isle,gin,
English Christmas Punch,rum,
English Rose,gin,
Envy,tequila,
Espaloma,tequila,
Eucalyptus Martini,gin,
Eye Candy,gin,
Flirtini,vodka,
Floradora,gin,
French 75,gin,
French Connection,brandy,
French Connection Coffee,brandy,
French Martini,gin,
French Pear Martini,vodka,
Friar Tuck,Frangelico,
Frisco Sour,whiskey,
Frozen Daiquiri,rum,
Frozen Margarita,tequila,
Frozen Pina Colada,rum,
Fuzzy Navel,peach schnapps,
Fireball,whiskey,
Fabiola,brandy,
Fall Spice Cordial,whiskey,
Firefly,vodka,
Flaming Homer or Moe,brandy,
Flaming Spanish Coffee,rum,
Floating on Cloud 9,vodka,
Foghorn,gin,
For The Record,vodka,
Forty Creek Caesar,whiskey,
Freddie Fuddpucker,tequila,
French Pearl,gin,
French Quarter Smash,whiskey,
French Sparkle,vodka,
Fright Night in the Grove,tequila,
Frisco 49,gin,
Frog in a Blender,vodka,
Frostbite,tequila,
Garbo Cocktail,brandy,
Gibson,gin,
Gimlet,gin,
Gin & Tonic,gin,
Gin Buck,gin,
Gin Fizz,gin,
Ginger Martini,vodka,
Gin Rickey,gin,
Gin Sling,gin,
Gin Toddy,gin,
Glogg,brandy,
Godfather,whiskey,
Godmother,vodka,
Gold Mine,whiskey,
Grasshopper,chocolate and mint liqueurs,
Green Beer,beer,
Greyhound,vodka,
Grinch,Midori,
Gummy Bear Martini,vodka,
G'Spot,gin,
Game Set Match,whiskey,
Garden Patch Smash,tequila,
Georgia On My Mind,whiskey,
German Vacation,rum,
Ghostbuster,melon and peach liqueurs,
Ghost-tini,vodka,
Gin & It,gin,
Gin & Sin,gin,
Gingerbread Man-tini,vodka,
Ginger Julep '68 Fastback,whiskey,
Ginger Snap Martini,vodka,
Ginger Sour,vodka,
Ginger Tea,brandy,
Ginger-tini,vodka,
Ginspresso Martini,gin and vodka,
Glamour Girl Martini,wine,
Global Warmer,whiskey,
Goblet of Fire,rum,
Golden Cadillac,Galliano,
Golden Cappuccino Martini,vodka,
Golden Dream,Galliano,
Golden Glamour,Champagne,
Golden Margarita,tequila,
Gold Rush,whiskey,
Gombo,rum,
Good Luck Charm,whiskey,
Grand Rum Toddy,rum,
Great Pumpkin,whiskey,
Green Dublin Apple Cocktail,whiskey,
Green Gin Giant,gin,
Guadalajara,tequila,
Gummi Bear Margarita,tequila,
Gunpowder Gimlet,gin,
Hairy Navel,vodka,
Harvey Wallbanger,vodka,
Hawaiian Iced Tea,gin, rum, tequila and vodka,
Hemingway Daiquiri,rum,
Highball,whiskey,
Hollywood Martini,vodka,
Homemade Eggnog,brandy,
Horse's Neck,whiskey,
Hot Buttered Rum,rum,
Hot Peppermint Patty,chocolate and mint liqueurs,
Hot Toddy,brandy, rum or whiskey,
Hurricane,rum,
Habanero Blood Orange Margarita,tequila,
Habanero Martini,tequila,
Hair of the Dog,gin,
Halloween Harvest,rum,
Halloween Hpnotist,vodka,
Happy New Year,brandy,
Hawaiian Margarita,tequila,
Hello Kitty,vodka,
Hennessy Hot Coco,brandy,
Highland Margarita,tequila,
Holiday Hopper,Midori,
Holiday Spice,vodka,
Hollywood,vodka,
Homecoming Caipirinha,cachaca,
Honey Bun,vodka,
Honey Deuce,vodka,
Honeymoon Cocktail,brandy,
Honolulu Cocktail,gin,
Horny Bull,tequila,
Horse's Neck with a Kick,whiskey,
Hot Apple Pie,Tuaca,
Hot Apple Toddy,whiskey,
Hot Buttered Whiskey,whiskey,
Hot Cinn Apple Toddy,whiskey,
Hot Ginger Toddy,whiskey,
Hot Gin Punch,gin,
Hot Gold Apple Cider,rum,
Hpnotiq Margarita,tequila,
Hunter's Cocktail,whiskey,
Imperial Fizz,whiskey,
Irish Coffee,whiskey,
Irish Martini,vodka and whiskey,
Iceberg,vodka,
Ice Kaffe,vodka,
Idonis,brandy and vodka,
Imperial,gin,
In & Out Lemontini,vodka,
In & Out Martini,vodka,
Independence Day Mojito,rum,
Inside Scoop,Jagermeister,
Irish Cactus,tequila,
Irish Encounter,rum,
Irish Eyes,whiskey,
Irish Gold,whiskey,
Irish Ice,Irish cream,
Irish Pride,amaretto and mint liqueurs,
Irish Punch,whiskey,
Irish Tea Party,whiskey,
Irish Winter,whiskey,
Italian Coffee,Strega,
Jalapeno Margarita,tequila,
Jameson and Ginger,whiskey,
John Collins,whiskey,
Jolly Rancher,vodka,
Jack O'Lantern,brandy,
Jack Rose,brandy,
Jalisco High Tea,tequila,
Jamaica Margarita,tequila,
Japanese Cherry Blossom Margarita,tequila,
Japanese Cocktail,brandy,
Japanese Slipper,Midori,
Jean Harlow Cocktail,rum,
Jellyfish,vodka,
Jet Pilot,rum,
Jim Beam Fruit Punch,whiskey,
Juan Collins,tequila,
Kamikaze,vodka,
Key Lime Pie Martini,vodka,
Kir,wine,
Kiwi Martini,vodka,
Knickerbocker,gin,
Kappa Colada,brandy,
Kentucky Coffee,whiskey,
Kentucky Kiss,whiskey,
Kumquat-Ginger Caipirinha,cachaca,
Lavender Martini,gin,
Lemon Drop Martini,vodka,
Lychee Martini,vodka,
Long Beach Tea,gin, rum, tequila and vodka,
Long Island Iced Tea,gin, rum, tequila and vodka,
Lynchburg Lemonade,whiskey,
La Coloniale,gin,
Lady Liberty,rum,
Lagoon Punch,lychee liqueur,
Lavender Lemon Drop,vodka,
Lavender Sapphire Collins,gin,
La Vie En Rouge,Grand Marnier,
Lei Maker,brandy,
Leap Year,gin,
Lemon Cake,RumChata,
Lemon, Lime and Blue Caipirinha,cachaca,
Leprechaun,whiskey,
Liberal Cocktail,whiskey,
Licorice Stick,vodka,
Lita Grey,gin,
Liquid Lust,tequila,
Liquid Bourbon Ball,whiskey,
London Proper,gin,
Look Better Naked Margarita,tequila,
Lotus Blossom,vodka,
Lounge Lizard,rum,
Love Potion #9,vodka,
Mad Eye Martini,vodka,
Mad Monk,Frangelico,
Madras,vodka,
Mai Tai,rum,
Manhattan,whiskey,
Margarita,tequila,
Martinez,gin,
Martini,gin,
Metropolitan,brandy,
Miami Iced Tea,gin, rum and vodka,
Michelada,beer,
Milk & Honey,Benedictine,
Mimosa,Champagne,
Mint ChocoChata Martini,vodka,
Mint Julep,whiskey,
Mojito,rum,
Moscow Mule,vodka,
Mudslide,vodka,
